Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
2014-06-01,6/1/2014,7/1/2014,1,1,1,2,4,6,7,9,11,17,17,17,17,17
2014-07-01,7/1/2014,8/1/2014,1,1,2,2,2,3,6,7,8,13,16,16,16,16
2014-08-01,8/1/2014,9/1/2014,1,1,2,2,2,2,3,4,4,11,17,17,17,17
2014-09-01,9/1/2014,10/1/2014,1,1,1,2,4,5,5,7,7,11,18,18,18,18
2014-10-01,10/1/2014,11/1/2014,1,1,1,1,2,3,4,5,7,13,20,20,20,20
2014-11-01,11/1/2014,12/1/2014,1,1,2,2,3,3,4,4,6,14,28,28,28,28
2014-12-01,12/1/2014,1/1/2015,1,1,1,1,3,4,5,7,8,14,28,28,28,28
2015-01-01,1/1/2015,2/1/2015,1,1,1,1,2,3,4,4,4,4,4,4,4,4
2015-02-01,2/1/2015,3/1/2015,1,1,1,2,3,3,3,3,3,3,3,3,3,3
2015-03-01,3/1/2015,4/1/2015,1,1,1,1,2,3,3,3,3,4,4,4,4,4
2015-04-01,4/1/2015,5/1/2015,1,1,1,1,3,3,3,3,3,4,4,4,4,4
2015-05-01,5/1/2015,6/1/2015,1,1,1,1,2,3,3,4,4,4,4,4,4,4
2015-06-01,6/1/2015,7/1/2015,1,1,1,1,3,3,3,3,3,3,3,3,3,3
2015-07-01,7/1/2015,8/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-08-01,8/1/2015,9/1/2015,1,1,1,1,2,2,3,5,6,6,6,6,6,6
2015-09-01,9/1/2015,10/1/2015,1,1,1,1,2,3,3,4,4,6,6,6,6,6
2015-10-01,10/1/2015,11/1/2015,1,2,2,2,3,3,3,3,4,6,6,6,6,6
2015-11-01,11/1/2015,12/1/2015,1,1,1,1,2,2,2,2,3,4,4,4,4,4
2015-12-01,12/1/2015,1/1/2016,1,1,1,1,2,2,3,3,4,4,4,4,4,4
2016-01-01,1/1/2016,2/1/2016,1,1,1,1,2,3,3,3,3,4,4,4,4,4
2016-02-01,2/1/2016,3/1/2016,1,1,1,1,2,2,3,3,3,4,4,4,4,4
2016-03-01,3/1/2016,4/1/2016,1,2,2,3,3,3,6,6,6,8,8,8,8,8
2016-04-01,4/1/2016,5/1/2016,1,2,2,2,2,4,4,6,6,8,8,8,8,8
2016-05-01,5/1/2016,6/1/2016,1,1,2,3,4,5,5,6,7,9,10,10,10,10
2016-06-01,6/1/2016,7/1/2016,1,2,2,3,5,6,6,6,7,11,14,14,14,14
2016-07-01,7/1/2016,8/1/2016,1,2,2,2,3,4,7,7,7,10,13,13,13,13
2016-08-01,8/1/2016,9/1/2016,1,2,2,3,3,4,4,5,5,9,13,13,13,13
2016-09-01,9/1/2016,10/1/2016,1,2,2,2,3,4,5,5,6,7,14,14,14,14
2016-10-01,10/1/2016,11/1/2016,1,2,2,3,5,5,6,6,8,10,17,17,17,17
2016-11-01,11/1/2016,12/1/2016,1,2,2,3,4,5,6,6,6,11,19,19,19,19
2016-12-01,12/1/2016,1/1/2017,1,2,3,4,6,6,6,6,8,10,16,16,16,16
2017-01-01,1/1/2017,2/1/2017,1,2,2,4,7,7,8,8,8,9,14,19,19,19
2017-02-01,2/1/2017,3/1/2017,1,1,2,3,6,7,8,8,10,14,25,26,26,26
2017-03-01,3/1/2017,4/1/2017,1,2,3,4,5,7,9,10,11,15,26,30,30,30
2017-04-01,4/1/2017,5/1/2017,1,1,1,3,6,9,11,11,12,17,22,25,25,25
2017-05-01,5/1/2017,6/1/2017,1,1,1,2,4,6,9,11,15,17,25,27,27,27
2017-06-01,6/1/2017,7/1/2017,1,1,2,2,5,5,7,8,10,16,24,29,29,29
2017-07-01,7/1/2017,8/1/2017,1,1,1,2,5,8,11,12,14,17,24,27,27,27
2017-08-01,8/1/2017,9/1/2017,1,2,2,3,5,7,9,11,12,15,27,33,33,33
2017-09-01,9/1/2017,10/1/2017,1,1,1,2,4,6,8,10,11,16,25,27,27,27
2017-10-01,10/1/2017,11/1/2017,0,1,2,4,6,8,10,12,13,20,28,32,32,32
2017-11-01,11/1/2017,12/1/2017,1,2,3,4,6,8,10,10,13,18,28,28,28,28
2017-12-01,12/1/2017,1/1/2018,1,2,3,4,7,9,11,13,13,21,30,34,34,34
2018-01-01,1/1/2018,2/1/2018,1,2,2,4,6,9,13,13,14,19,26,30,30,30
2018-02-01,2/1/2018,3/1/2018,1,1,2,4,6,7,9,11,11,17,32,32,32,32
2018-03-01,3/1/2018,4/1/2018,1,2,3,4,7,9,11,13,15,21,31,31,31,31
2018-04-01,4/1/2018,5/1/2018,1,2,3,5,7,9,10,14,16,21,27,27,27,27
