Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
Quarter from 04/2014,4/1/2014,7/1/2014,1,1,1,2,4,5,8,9,10,17,17,17,17,17
Quarter from 07/2014,7/1/2014,10/1/2014,1,1,2,2,2,2,3,4,6,12,27,36,36,36
Quarter from 10/2014,10/1/2014,1/1/2015,1,1,1,1,2,3,4,5,6,13,30,51,51,51
Quarter from 01/2015,1/1/2015,4/1/2015,1,1,1,1,2,3,3,3,4,4,4,4,4,4
Quarter from 04/2015,4/1/2015,7/1/2015,1,1,1,1,1,2,4,4,4,4,4,4,4,4
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,1,1,1,1,2,3,3,7,7,7,7,7
Quarter from 10/2015,10/1/2015,1/1/2016,1,1,2,2,3,3,3,3,3,6,6,6,6,6
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,1,2,2,3,4,4,4,7,10,10,10,10
Quarter from 04/2016,4/1/2016,7/1/2016,1,1,2,3,4,5,6,7,7,9,18,18,18,18
Quarter from 07/2016,7/1/2016,10/1/2016,1,2,2,2,3,3,4,5,6,8,14,17,17,17
Quarter from 10/2016,10/1/2016,1/1/2017,1,2,3,4,5,6,6,7,7,10,17,21,21,21
Quarter from 01/2017,1/1/2017,4/1/2017,1,2,3,4,6,7,8,8,9,13,23,35,35,35
Quarter from 04/2017,4/1/2017,7/1/2017,1,1,1,3,4,7,9,11,11,16,25,33,33,33
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,1,3,5,6,8,10,12,17,29,38,38,38
Quarter from 10/2017,10/1/2017,1/1/2018,0,1,2,4,7,8,9,11,13,19,29,38,38,38
Quarter from 01/2018,1/1/2018,4/1/2018,1,1,2,4,7,8,9,11,13,21,31,36,36,36
