Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 04/2014,4/1/2014,7/1/2014,30.8%,59.3%,67.8%,75.0%,80.6%,88.5%,92.6%,94.8%,96.2%,97.2%,99.9%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,18.7%,32.4%,41.3%,48.9%,53.4%,64.8%,72.1%,77.9%,82.0%,85.3%,92.5%,97.6%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,12.2%,20.6%,27.9%,33.9%,39.6%,59.4%,68.6%,74.4%,79.1%,82.4%,90.4%,96.5%,99.3%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,8.1%,15.5%,21.9%,28.1%,33.8%,54.6%,66.7%,74.0%,79.2%,82.4%,90.0%,95.7%,98.8%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,4.6%,9.1%,13.5%,17.3%,21.0%,37.1%,49.5%,59.4%,67.3%,73.9%,85.6%,92.2%,96.5%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,5.5%,10.5%,15.4%,19.2%,22.9%,37.7%,46.9%,54.7%,61.2%,66.6%,79.5%,89.0%,94.1%,98.9%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,4.2%,8.4%,11.9%,15.1%,18.0%,30.8%,41.1%,49.3%,56.2%,62.1%,76.3%,87.3%,93.3%,98.4%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,4.9%,8.9%,12.8%,16.2%,19.5%,32.3%,42.1%,49.0%,55.2%,60.1%,74.1%,86.4%,92.2%,97.4%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,3.4%,6.6%,9.7%,12.5%,15.1%,27.0%,36.0%,43.4%,49.4%,54.4%,67.7%,80.9%,89.1%,95.6%,99.6%
Quarter from 07/2016,7/1/2016,10/1/2016,6.3%,8.9%,11.4%,13.6%,15.6%,23.9%,30.9%,36.5%,41.4%,45.6%,57.7%,75.4%,85.9%,93.4%,97.6%
Quarter from 10/2016,10/1/2016,1/1/2017,3.2%,6.3%,9.2%,11.7%,14.2%,23.7%,30.6%,36.2%,41.1%,45.3%,57.6%,72.7%,82.7%,91.5%,96.4%
Quarter from 01/2017,1/1/2017,4/1/2017,4.7%,8.7%,10.8%,12.8%,14.5%,21.9%,27.9%,32.6%,36.5%,40.1%,52.0%,68.7%,80.6%,89.9%,95.0%
Quarter from 04/2017,4/1/2017,7/1/2017,6.1%,8.3%,10.4%,12.3%,13.9%,21.1%,27.0%,32.0%,36.4%,40.4%,51.7%,67.0%,78.4%,87.6%,93.2%
Quarter from 07/2017,7/1/2017,10/1/2017,4.6%,7.9%,10.4%,12.4%,14.0%,20.4%,25.7%,30.6%,34.9%,38.8%,48.8%,63.6%,76.7%,86.8%,92.7%
Quarter from 10/2017,10/1/2017,1/1/2018,2.8%,5.6%,7.6%,9.2%,10.8%,17.5%,22.6%,27.0%,31.1%,34.7%,45.5%,60.2%,72.4%,83.0%,89.6%
Quarter from 01/2018,1/1/2018,4/1/2018,2.3%,3.9%,5.4%,6.7%,7.9%,13.6%,17.7%,21.3%,24.3%,27.0%,36.4%,50.7%,64.2%,77.2%,85.3%
