Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 10/2015,10/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
Quarter from 10/2016,10/1/2016,1/1/2017,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
Quarter from 01/2017,1/1/2017,4/1/2017,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%
Quarter from 04/2017,4/1/2017,7/1/2017,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%
Quarter from 07/2017,7/1/2017,10/1/2017,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
Quarter from 10/2017,10/1/2017,1/1/2018,82.9%,84.6%,85.1%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%
Quarter from 01/2018,1/1/2018,4/1/2018,84.4%,86.2%,87.1%,87.8%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%
